index,path,label,label_id
0,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t001\anuJvqUqBB.JPG,t001,0
1,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t001\CAluWEgwPX.JPG,t001,0
2,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t001\dLFculJDGP.JPG,t001,0
3,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t001\EKyrFKHQzh.JPG,t001,0
4,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t001\ELAvEqeXxT.JPG,t001,0
5,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t001\iiWUAXGTRk.JPG,t001,0
6,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t001\IxRLFwTGCv.JPG,t001,0
7,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t001\kTIpheVAuj.JPG,t001,0
8,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t001\LKCJAhfLBJ.JPG,t001,0
9,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t001\LZystXlIqe.JPG,t001,0
10,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t001\OiaMESWPyh.JPG,t001,0
11,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t001\oYBbBMeIrc.JPG,t001,0
12,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t001\rArWeMiEhi.JPG,t001,0
13,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t001\tIpzeVcJbR.JPG,t001,0
14,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t001\txgBopXzbZ.jpg,t001,0
15,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t001\uUVqsYByEj.JPG,t001,0
16,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t001\VMyJozldvy.jpg,t001,0
17,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t001\XhbkFIOvZr.JPG,t001,0
18,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t001\xldQLnWiRI.JPG,t001,0
19,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t001\zgOfklUqJC.JPG,t001,0
20,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t001\ZKnMahXQgJ.JPG,t001,0
21,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t001\ZkWKNtWbVK.JPG,t001,0
22,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t002\AWKZYHmepZ.JPG,t002,1
23,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t002\AyPUCFEHdl.JPG,t002,1
24,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t002\dFtPHvFXhQ.JPG,t002,1
25,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t002\DrqbIVqYxx.JPG,t002,1
26,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t002\dyrWnymJcS.jpg,t002,1
27,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t002\EjSeeiwrpz.JPG,t002,1
28,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t002\hPCHQNBqcs.JPG,t002,1
29,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t002\lhCREWlJLu.JPG,t002,1
30,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t002\mfzYdIbukk.jpg,t002,1
31,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t002\nbXkFSMdaZ.JPG,t002,1
32,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t002\pIHJimnzHb.JPG,t002,1
33,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t002\PnzurZBZbL.JPG,t002,1
34,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t002\sSnmlGIDhj.JPG,t002,1
35,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t002\SuPxFCvAob.jpg,t002,1
36,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t002\ufuwGirQLa.JPG,t002,1
37,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t002\UIuKdSOZUI.JPG,t002,1
38,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t002\waDhOeKzuw.jpg,t002,1
39,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\aDgJZmrrTT.jpg,t003,2
40,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\aMTQqGsNRW.jpeg,t003,2
41,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\bAsFeiqsYc.jpg,t003,2
42,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\cfWMzlOsXW.jpeg,t003,2
43,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\DsLKhAEQHe.jpeg,t003,2
44,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\ETwjGRaQuO.JPG,t003,2
45,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\fTHsesuTHC.JPG,t003,2
46,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\gkXVeMpaGy.JPG,t003,2
47,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\IbJfsmXgdi.jpg,t003,2
48,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\iNwxCyamyr.JPG,t003,2
49,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\IsRboHQOvH.jpg,t003,2
50,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\iUreCLgujg.jpeg,t003,2
51,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\JTJxSLImUS.jpg,t003,2
52,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\KgWrXqohGk.jpeg,t003,2
53,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\KvBpvErVpb.jpeg,t003,2
54,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\OBYVcoIuns.jpeg,t003,2
55,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\PwTyQxtigI.JPG,t003,2
56,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\qxoAjUErxq.JPG,t003,2
57,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\RvpUYKwcYw.jpg,t003,2
58,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\SHZVAvsIpG.JPG,t003,2
59,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\stDmMLGJIU.jpeg,t003,2
60,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\TDVKNFzKkC.jpg,t003,2
61,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\tMOUElhljO.JPG,t003,2
62,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\UEQGSXvhff.jpg,t003,2
63,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\vmSmTiYhnl.jpeg,t003,2
64,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\WdawXRghVK.jpg,t003,2
65,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\YZQHThUwDf.jpg,t003,2
66,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\zlkamyNHCP.jpg,t003,2
67,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t003\ZToiMYHZgd.jpg,t003,2
68,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t004\ABuUaTxraz.jpg,t004,3
69,C:\Users\sagni\Downloads\WildTrack\archive\turtles-data\data\images\t004\aLyJUYVQvW.jpg,t004,3
